batch,number,site,population,aru_id,prefix,n_coor,w_coor,start_date,start_time,end_date,end_time,sampling_rate_khz,hpf,schedule,compression,sd_slotA,gbA,sd_slotB,gbB,start_battery,end_battery,battery_consumed,habitat,ELC,photo,deployers,landowner,corncrake_recorded,hard_disk,backup,notes
13,12,gortnamalin,edo,R07,S4A16872,55.352138,-7.345437,2022-04-21,10:06,2022-04-30,09:40,44.1,220,always,W4V-8,S07,66,E,E,6.4,5.2,1.2,GS2,0,Y,AP,,1,HDD3,,Corncrake calling
14,10,binghamstown,mul,R14,S4A16929,54.219342,-10.03367,2022-05-03,15:39,2022-05-12,15:14,44.1,220,always,W4V-8,S14,66,E,E,6.3,5.3,1,Reed + GSI,0,Y,AP,,1,HDD4,,
14,3,mushroom,mul,R19,S4A16866,54.253094,-9.993126,2022-05-03,11:03,2022-05-12,12:21,44.1,220,always,W4V-8,S19,66,E,E,5.4,4.3,1.1,ELC + GS2,1,Y,AP,,1,HDD4,,Corncrakes calling
15,4,magheroarty,wdo,R12,S4A16863,55.141452,-8.168126,2022-05-25,13:18,2022-06-02,14:00,44.1,220,always,W4V-8,S12,63,E,E,6.4,5.1,1.3,GSI + GA1,0,N,AP,,1,HDD4,,
15,12,gortnamalin,edo,R17,S4A16993,55.352138,-7.345437,2022-05-26,11:19,2022-06-02,22:40,44.1,220,always,W4V-8,S17,59,E,E,6.4,5.2,1.2,GS2 + GA1,0,N,AP,,1,HDD4,,Cattle in adjacent field
15,13,malin,edo,R20,S4A16904,55.376204,-7.363839,2022-05-26,11:47,2022-06-02,22:10,44.1,220,always,W4V-8,S20,58,E,E,6.4,5.2,1.2,GS2 + GA1,1,Y,AP,,1,HDD4,,Sheeps in adjacent field
16,5,termocarragh,mul,R13,S4A16910,54.250062,-10.073022,2022-06-08,13:23,2022-06-20,14:30,44.1,220,always,W4V-8,S13,95 (126),E,E,6.6,5.3,1.3,GS2 + nettle,1,N,AP,,1,HDD6,,Battery replaced. 2 deployments on the same SD
16,1,mushroom,mul,R15,S4A17026,54.253094,-9.993126,2022-06-08,11:54,2022-06-20,15:30,44.1,220,always,W4V-8,S15,95,E,E,5.5,3.9,1.6,Nettle,1,N,AP,,1,HDD6,,
XX,XX,omey,gal,R04,S4A16674,53.527017,-10.152139,2022-06-13,22:30,2022-06-27,13:47,44.1,220,always,W4V-8,S04,100,E,E,5.8,3.5,2.3,GS2 + ELC,1,N,AP + NOT,,1,HDD2,,Corncrake calling. Out of battery (writing dum files)
17,5,joes,wdo,R09,S4A16876,55.135898,-8.13292,2022-06-23,14:51,2022-07-05,16:07,44.1,220,always,W4V-8,S09,95,E,E,6.3,5.1,1.2,GS2,0,N,AP + GV,,1,HDD5,,
17,6,falcarragh,wdo,R15,S4A17026,55.140427,-8.118881,2022-06-23,15:15,2022-07-05,16:15,44.1,220,always,W4V-8,S15,95,E,E,6.3,5,1.3,GS2,1,N,AP + GV,,1,HDD5,,Corncrake calling
18,10,binghamstown,mul,R07,S4A16872,54.219342,-10.03367,2022-07-07,18:13,2022-07-15,17:21,44.1,220,always,W4V-8,S04,58,E,E,6.5,5.4,,GS2,0,N,AP,,1,HDD9,,Another SD card used
